x,y,species cloglog values
1.0,1.0,0.026426753
2.0,2.0,0.002079397
3.0,3.0,4.600139E-4
4.0,4.0,0.69872713
5.0,5.0,0.39614126
6.0,6.0,0.0044985088
7.0,7.0,0.2882994
8.0,8.0,4.6531326E-4
9.0,9.0,9.149157E-4
10.0,10.0,0.16713585
11.0,11.0,0.0025376622
12.0,12.0,0.56250536
13.0,13.0,4.7350605E-4
14.0,14.0,0.0022776527
15.0,15.0,0.0014976931
16.0,16.0,0.2096234
17.0,17.0,0.39477417
18.0,18.0,4.9348833E-4
19.0,19.0,0.1085216
20.0,20.0,0.06273708
21.0,21.0,4.921085E-4
22.0,22.0,0.15076552
23.0,23.0,0.58133835
24.0,24.0,0.03180663
25.0,25.0,0.15357427
26.0,26.0,0.004819421
27.0,27.0,0.0014793163
28.0,28.0,0.014606445
29.0,29.0,0.029489154
30.0,30.0,0.70949495
31.0,31.0,4.7895056E-4
32.0,32.0,5.709171E-4
33.0,33.0,0.0014296919
34.0,34.0,0.0018415772
35.0,35.0,0.015713304
36.0,36.0,0.005703064
37.0,37.0,0.08780697
38.0,38.0,4.8365965E-4
39.0,39.0,0.010650718
40.0,40.0,0.0035778456
41.0,41.0,0.005383468
42.0,42.0,0.0059596626
43.0,43.0,0.003420557
44.0,44.0,0.0042866385
45.0,45.0,0.0039229617
46.0,46.0,0.0024051208
47.0,47.0,4.8792324E-4
48.0,48.0,0.0020967827
49.0,49.0,0.0048954333
50.0,50.0,0.0057391333
51.0,51.0,0.09875176
52.0,52.0,0.034503054
53.0,53.0,0.57999593
54.0,54.0,0.25462455
55.0,55.0,0.036090616
56.0,56.0,0.16784404
57.0,57.0,0.03637782
58.0,58.0,0.14439435
59.0,59.0,0.005035635
60.0,60.0,0.0051332787
61.0,61.0,0.0019403396
62.0,62.0,0.61830175
63.0,63.0,0.004326329
64.0,64.0,0.47241354
65.0,65.0,0.7002186
66.0,66.0,0.35606948
67.0,67.0,0.0011665195
68.0,68.0,0.59639513
69.0,69.0,0.03631093
70.0,70.0,0.0015266897
71.0,71.0,0.0013982792
72.0,72.0,0.0014981391
73.0,73.0,0.0015019089
74.0,74.0,0.65941566
75.0,75.0,0.10064122
76.0,76.0,0.0017302715
77.0,77.0,0.0014959946
78.0,78.0,0.5661803
79.0,79.0,0.25590262
80.0,80.0,0.010464424
81.0,81.0,0.0010401667
82.0,82.0,5.325522E-4
83.0,83.0,0.015528898
84.0,84.0,0.005709868
85.0,85.0,0.015857076
86.0,86.0,0.70721066
87.0,87.0,5.030847E-4
