x,y,raw,cumulative,Cloglog
1.0,1.0,9.85898E-6,0.20643119,0.026426753
2.0,2.0,7.66258E-7,0.028279801,0.002079397
3.0,3.0,1.69378E-7,0.001403211,0.000460014
4.0,4.0,4.41644E-4,86.911751177,0.698727136
5.0,5.0,1.85684E-4,4.529664305,0.396141272
6.0,6.0,1.65971E-6,0.048184167,0.004498509
7.0,7.0,1.25196E-4,2.623652688,0.288299417
8.0,8.0,1.71329E-7,0.00162472,0.000465313
9.0,9.0,3.3695E-7,0.007535647,0.000914916
10.0,10.0,6.73229E-5,1.118727545,0.16713585
11.0,11.0,9.35343E-7,0.03413127,0.002537662
12.0,12.0,3.04319E-4,10.404968049,0.562505345
13.0,13.0,1.74347E-7,0.001901965,0.000473506
14.0,14.0,8.39399E-7,0.032208694,0.002277653
15.0,15.0,5.51739E-7,0.019534628,0.001497693
16.0,16.0,8.65979E-5,1.594680543,0.2096234
17.0,17.0,1.84851E-4,4.49259589,0.394774171
18.0,18.0,1.81706E-7,0.004003331,0.000493488
19.0,19.0,4.22871E-5,0.640429805,0.108521602
20.0,20.0,2.38508E-5,0.347316937,0.062737079
21.0,21.0,1.81198E-7,0.003840002,0.000492109
22.0,22.0,6.01576E-5,0.994001294,0.15076553
23.0,23.0,3.20516E-4,12.43292952,0.581338325
24.0,24.0,1.18988E-5,0.228580395,0.031806628
25.0,25.0,6.13771E-5,1.030433548,0.153574267
26.0,26.0,1.7784E-6,0.054212988,0.004819421
27.0,27.0,5.44964E-7,0.018109658,0.001479316
28.0,28.0,5.41653E-6,0.121748995,0.014606445
29.0,29.0,1.10187E-5,0.214846827,0.029489154
30.0,30.0,4.55042E-4,98.760636109,0.709494965
31.0,31.0,1.76352E-7,0.002375819,0.000478951
32.0,32.0,2.10224E-7,0.005977544,0.000570917
33.0,33.0,5.2667E-7,0.015264893,0.001429692
34.0,34.0,6.7854E-7,0.023063773,0.001841577
35.0,35.0,5.83026E-6,0.131354694,0.015713304
36.0,36.0,2.1054E-6,0.073744342,0.005703064
37.0,37.0,3.38313E-5,0.490024271,0.087806973
38.0,38.0,1.78086E-7,0.003067059,0.00048366
39.0,39.0,3.94174E-6,0.096026566,0.010650718
40.0,40.0,1.31943E-6,0.040150139,0.003577846
41.0,41.0,1.9871E-6,0.063936958,0.005383468
42.0,42.0,2.20042E-6,0.078071337,0.005959663
43.0,43.0,1.26132E-6,0.038334506,0.003420557
44.0,44.0,1.58138E-6,0.044276637,0.004286638
45.0,45.0,1.44695E-6,0.042910422,0.003922962
46.0,46.0,8.86432E-7,0.033582514,0.002405121
47.0,47.0,1.79657E-7,0.003370915,0.000487923
48.0,48.0,7.72671E-7,0.028818832,0.002096783
49.0,49.0,1.80652E-6,0.056004115,0.004895433
50.0,50.0,2.11876E-6,0.074377894,0.005739133
51.0,51.0,3.82748E-5,0.575641771,0.098751762
52.0,52.0,1.29254E-5,0.239748157,0.034503053
53.0,53.0,3.19338E-4,12.20894846,0.579995916
54.0,54.0,1.08177E-4,2.217311388,0.254624534
55.0,55.0,1.35312E-5,0.250502627,0.036090615
56.0,56.0,6.76361E-5,1.125491154,0.167844039
57.0,57.0,1.36409E-5,0.25729845,0.036377822
58.0,58.0,5.74062E-5,0.887556331,0.14439435
59.0,59.0,1.85838E-6,0.059312073,0.005035635
60.0,60.0,1.89451E-6,0.06043849,0.005133279
61.0,61.0,7.14965E-7,0.025245939,0.00194034
62.0,62.0,3.54542E-4,19.366249225,0.618301768
63.0,63.0,1.59605E-6,0.044436242,0.004326329
64.0,64.0,2.3539E-4,6.21778565,0.472413533
65.0,65.0,4.43471E-4,90.718646012,0.70021861
66.0,66.0,1.62032E-4,3.772237304,0.35606949
67.0,67.0,4.29666E-7,0.008799497,0.001166519
68.0,68.0,3.33999E-4,14.559180863,0.596395139
69.0,69.0,1.36154E-5,0.255934357,0.036310929
70.0,70.0,5.6243E-7,0.020033708,0.00152669
71.0,71.0,5.1509E-7,0.014223915,0.001398279
72.0,72.0,5.51904E-7,0.019589818,0.001498139
73.0,73.0,5.53293E-7,0.01986616,0.001501909
74.0,74.0,3.96496E-4,37.742912136,0.659415646
75.0,75.0,3.90473E-5,0.591156373,0.100641218
76.0,76.0,6.37494E-7,0.022007709,0.001730272
77.0,77.0,5.51113E-7,0.019369185,0.001495995
78.0,78.0,3.07424E-4,10.954823816,0.566180288
79.0,79.0,1.08809E-4,2.239026544,0.255902609
80.0,80.0,3.87243E-6,0.095243594,0.010464424
81.0,81.0,3.83102E-7,0.007821197,0.001040167
82.0,82.0,1.96094E-7,0.005594687,0.000532552
83.0,83.0,5.7613E-6,0.129033906,0.015528898
84.0,84.0,2.10792E-6,0.073955135,0.005709868
85.0,85.0,5.88403E-6,0.134286719,0.015857076
86.0,86.0,4.52159E-4,98.488599854,0.707210651
87.0,87.0,1.85241E-7,0.004681714,0.000503085
88.0,88.0,1.63095E-7,0.001136969,0.000442955
89.0,89.0,5.89416E-6,0.134876135,0.015884159
90.0,90.0,1.88198E-7,0.004980409,0.000511114
91.0,91.0,5.49192E-7,0.019094104,0.001490783
92.0,92.0,2.68824E-7,0.00642256,0.00073
93.0,93.0,8.17581E-7,0.030883839,0.002218518
94.0,94.0,5.92597E-7,0.021077546,0.001608512
95.0,95.0,1.79461E-6,0.055284283,0.004863245
96.0,96.0,3.61292E-4,23.231773101,0.625236455
97.0,97.0,4.67053E-7,0.010106663,0.001267959
98.0,98.0,2.08374E-7,0.005956522,0.000565894
99.0,99.0,1.85696E-7,0.004774484,0.000504321
100.0,100.0,5.9503E-5,0.964064325,0.149253987
101.0,101.0,4.05581E-6,0.099648732,0.010957258
102.0,102.0,8.22813E-7,0.031212693,0.0022327
103.0,103.0,5.90159E-7,0.020840855,0.001601901
104.0,104.0,3.90532E-4,35.774776993,0.653852545
105.0,105.0,5.04928E-6,0.111813562,0.013622868
106.0,106.0,4.93429E-7,0.012260456,0.001339516
107.0,107.0,1.77951E-5,0.305677289,0.047191032
108.0,108.0,4.35992E-4,78.703068132,0.694065527
109.0,109.0,1.01062E-5,0.208427995,0.027080284
110.0,110.0,4.83244E-6,0.106868971,0.013041676
111.0,111.0,2.02943E-6,0.068164748,0.005497825
112.0,112.0,7.40872E-7,0.026918173,0.002010578
113.0,113.0,3.68341E-4,26.333345701,0.632344916
114.0,114.0,5.20051E-7,0.014845966,0.001411736
115.0,115.0,1.63411E-4,3.869858956,0.358476524
116.0,116.0,1.23061E-7,0.000276099,0.000334244
117.0,117.0,1.23522E-7,0.000288451,0.000335496
118.0,118.0,6.29338E-6,0.144551498,0.016950829
119.0,119.0,8.4848E-6,0.178144641,0.022785596
120.0,120.0,1.49472E-4,3.460641406,0.333719128
121.0,121.0,5.37877E-7,0.017080967,0.001460091
122.0,122.0,7.13085E-5,1.188026673,0.176104614
123.0,123.0,1.22523E-6,0.037338674,0.003322843
124.0,124.0,4.59267E-7,0.009874262,0.001246834
125.0,125.0,2.49314E-4,6.677822854,0.491997183
126.0,126.0,7.61966E-7,0.027820947,0.002067763
127.0,127.0,4.378E-4,80.974769285,0.695564932
128.0,128.0,8.76907E-5,1.707871386,0.211966204
129.0,129.0,1.78281E-5,0.3074601,0.047276512
130.0,130.0,2.12612E-6,0.074590506,0.00575902
131.0,131.0,1.52106E-7,0.000977508,0.000413116
132.0,132.0,1.33418E-5,0.242402426,0.035594443
133.0,133.0,1.8063E-7,0.00365905,0.000490566
134.0,134.0,7.4965E-7,0.027366162,0.002034374
135.0,135.0,1.40479E-6,0.042336968,0.003808891
136.0,136.0,1.50462E-4,3.490696224,0.335509795
137.0,137.0,1.18486E-6,0.036728721,0.003213529
138.0,138.0,7.9814E-5,1.393250309,0.194922827
139.0,139.0,1.89983E-6,0.060628473,0.005147637
